type,entry_time,entry_price,stop_loss,take_profit,orb_high,orb_low,orb_range,position_size,exit_time,exit_price,exit_reason,pnl,symbol,trade_duration,capital_after,cumulative_pnl,running_max,drawdown,symbol_name,category
LONG,2025-06-04 13:55:00+00:00,465.1200951171875,463.0200110839844,469.3198631835937,465.1199951171875,463.0201110839844,2.099884033203125,21,2025-06-04 20:20:00+00:00,463.0200110839844,STOP_LOSS,-44.10176469726457,MSFT,385.0,9955.898235302735,-44.10176469726457,-44.10176469726457,0.0,Microsoft,stocks
SHORT,2025-06-04 14:00:00+00:00,596.7898780273438,597.9501122070312,594.4698096679688,597.9500122070312,596.7899780273438,1.1600341796875,16,2025-06-04 20:45:00+00:00,594.4698096679688,TAKE_PROFIT,37.12109375,SPY,405.0,10037.12109375,37.12109375,37.12109375,0.0,S&P 500 ETF,stocks
SHORT,2025-06-04 14:00:00+00:00,527.8498755859375,529.6600731445312,524.22988046875,529.6599731445312,527.8499755859375,1.80999755859375,18,2025-06-04 18:00:00+00:00,529.6600731445312,STOP_LOSS,-32.583556054686596,QQQ,240.0,9967.416443945312,-32.583556054686596,-32.583556054686596,0.0,Nasdaq ETF,stocks
SHORT,2025-06-04 14:00:00+00:00,205.93990244140625,207.2401054931641,203.33989633789056,207.2400054931641,205.94000244140625,1.300003051757841,48,2025-06-04 17:05:00+00:00,207.2401054931641,STOP_LOSS,-62.40974648437668,AMZN,185.0,9937.590253515624,-62.40974648437668,-62.40974648437668,0.0,Amazon,stocks
SHORT,2025-06-04 14:00:00+00:00,167.15990366210937,168.18070302734375,165.11870493164062,168.18060302734375,167.16000366210938,1.020599365234375,59,2025-06-04 19:55:00+00:00,168.18070302734375,STOP_LOSS,-60.22716254882852,GOOGL,355.0,9939.772837451172,-60.22716254882852,-60.22716254882852,0.0,Google,stocks
LONG,2025-06-04 14:05:00+00:00,309.54010854492185,308.7899085449219,311.04010854492185,309.5400085449219,308.7900085449219,0.75,32,2025-06-04 14:35:00+00:00,311.04010854492185,TAKE_PROFIT,48.0,GLD,30.0,10048.0,48.0,48.0,0.0,Gold ETF,commodities
LONG,2025-06-04 14:25:00+00:00,204.93009267578125,202.65070261230468,209.48847280273438,204.92999267578125,202.6508026123047,2.2791900634765625,43,2025-06-04 15:40:00+00:00,202.65070261230468,STOP_LOSS,-98.01377272949247,AAPL,75.0,9901.986227270507,-98.01377272949247,-98.01377272949247,0.0,Apple,stocks
LONG,2025-06-04 17:10:00+00:00,207.2401054931641,205.93990244140625,209.84011159667978,207.2400054931641,205.94000244140625,1.300003051757841,47,2025-06-04 20:45:00+00:00,205.93990244140625,STOP_LOSS,-61.109543432618835,AMZN,215.0,9876.480710083006,-123.51928991699552,-62.40974648437668,-61.109543432618835,Amazon,stocks
LONG,2025-06-04 18:25:00+00:00,529.6600731445312,527.8498755859375,533.2800682617187,529.6599731445312,527.8499755859375,1.80999755859375,18,2025-06-04 20:45:00+00:00,527.8498755859375,STOP_LOSS,-32.583556054686596,QQQ,140.0,9934.832887890625,-65.16711210937319,-32.583556054686596,-32.583556054686596,Nasdaq ETF,stocks
LONG,2025-06-04 20:10:00+00:00,168.18070302734375,167.15990366210937,170.2219017578125,168.18060302734375,167.16000366210938,1.020599365234375,59,2025-06-04 20:50:00+00:00,167.15990366210937,STOP_LOSS,-60.22716254882852,GOOGL,40.0,9879.545674902343,-120.45432509765703,-60.22716254882852,-60.22716254882852,Google,stocks
