Symbol,Name,Category,Total Trades,Win Rate,Total PnL,Avg Win,Avg Loss,Profit Factor,Max DD,Sharpe,Return %
MNQ=F,Micro Nasdaq,futures,35,54.3%,$1771.25,$182.21,$-105.67,2.05,$-361.50,5.05,17.7%
NQ=F,Nasdaq Futures,futures,38,50.0%,$1649.00,$185.42,$-98.63,1.88,$-363.00,4.43,16.5%
GLD,Gold ETF,commodities,65,47.7%,$736.19,$54.09,$-27.67,1.78,$-221.24,4.13,7.4%
GC=F,Gold,commodities,57,54.4%,$719.99,$42.92,$-23.49,2.18,$-108.90,5.66,7.2%
QQQ,Nasdaq ETF,stocks,51,37.3%,$378.32,$84.81,$-38.53,1.31,$-361.88,1.78,3.8%
SPY,S&P 500 ETF,stocks,73,34.2%,$182.89,$45.69,$-19.99,1.19,$-128.33,1.08,1.8%
EURUSD=X,EUR/USD,forex,50,50.0%,$137.06,$14.89,$-9.40,1.58,$-46.50,3.21,1.4%
MSFT,Microsoft,stocks,65,35.4%,$112.10,$142.18,$-75.19,1.04,$-868.95,0.25,1.1%
AAPL,Apple,stocks,62,27.4%,$-797.81,$156.71,$-76.93,0.77,$-1061.51,-1.91,-8.0%
GOOGL,Google,stocks,55,27.3%,$-873.11,$177.58,$-88.42,0.75,$-1054.47,-2.09,-8.7%
AMZN,Amazon,stocks,46,26.1%,$-956.56,$150.88,$-81.39,0.65,$-871.66,-3.12,-9.6%
TSLA,Tesla,stocks,63,23.8%,$-1654.21,$168.87,$-87.23,0.60,$-2438.58,-3.77,-16.5%
