params,metrics,return_pct
"{'tp_multiplier': 1.0, 'risk_per_trade': 0.005}","{'total_trades': 97, 'winning_trades': 34, 'losing_trades': 63, 'win_rate': 0.35051546391752575, 'total_pnl': np.float64(-1332.7254860595808), 'average_win': np.float64(44.94581289852394), 'average_loss': np.float64(-45.410843247768184), 'profit_factor': np.float64(0.5341559133977057), 'max_drawdown': np.float64(-1368.4897239746215), 'sharpe_ratio': np.float64(-5.025655851018467), 'final_capital': 8667.274513940418, 'return_pct': -13.327254860595822}",-13.327254860595822
"{'tp_multiplier': 3.0, 'risk_per_trade': 0.005}","{'total_trades': 88, 'winning_trades': 14, 'losing_trades': 74, 'win_rate': 0.1590909090909091, 'total_pnl': np.float64(-1455.1966455078277), 'average_win': np.float64(129.54248918805845), 'average_loss': np.float64(-44.17285802892764), 'profit_factor': np.float64(0.5548212089647543), 'max_drawdown': np.float64(-1651.030441796894), 'sharpe_ratio': np.float64(-4.098282463066237), 'final_capital': 8544.803354492171, 'return_pct': -14.551966455078292}",-14.551966455078292
"{'tp_multiplier': 2.5, 'risk_per_trade': 0.005}","{'total_trades': 91, 'winning_trades': 16, 'losing_trades': 75, 'win_rate': 0.17582417582417584, 'total_pnl': np.float64(-1579.674820019546), 'average_win': np.float64(109.0736865997319), 'average_loss': np.float64(-44.33138407487009), 'profit_factor': np.float64(0.5248889387702774), 'max_drawdown': np.float64(-1805.9002803466929), 'sharpe_ratio': np.float64(-4.681117480392592), 'final_capital': 8420.325179980453, 'return_pct': -15.79674820019547}",-15.79674820019547
"{'tp_multiplier': 2.0, 'risk_per_trade': 0.005}","{'total_trades': 91, 'winning_trades': 18, 'losing_trades': 73, 'win_rate': 0.1978021978021978, 'total_pnl': np.float64(-1665.9134565185677), 'average_win': np.float64(86.8426208496098), 'average_loss': np.float64(-44.233981257692385), 'profit_factor': np.float64(0.48409047451256276), 'max_drawdown': np.float64(-1736.2743845703283), 'sharpe_ratio': np.float64(-5.521423334428883), 'final_capital': 8334.086543481435, 'return_pct': -16.65913456518565}",-16.65913456518565
"{'tp_multiplier': 1.5, 'risk_per_trade': 0.005}","{'total_trades': 93, 'winning_trades': 22, 'losing_trades': 71, 'win_rate': 0.23655913978494625, 'total_pnl': np.float64(-1697.556365380874), 'average_win': np.float64(64.87811695445703), 'average_loss': np.float64(-44.01232307575957), 'profit_factor': np.float64(0.4567602227750257), 'max_drawdown': np.float64(-1810.1725548706218), 'sharpe_ratio': np.float64(-6.208147179156312), 'final_capital': 8302.443634619129, 'return_pct': -16.975563653808713}",-16.975563653808713
"{'tp_multiplier': 3.0, 'risk_per_trade': 0.01}","{'total_trades': 88, 'winning_trades': 14, 'losing_trades': 74, 'win_rate': 0.1590909090909091, 'total_pnl': np.float64(-1863.9789376465048), 'average_win': np.float64(230.34990038190614), 'average_loss': np.float64(-68.76861544585395), 'profit_factor': np.float64(0.6337151126355961), 'max_drawdown': np.float64(-2315.3671816162355), 'sharpe_ratio': np.float64(-3.0013567452151415), 'final_capital': 8136.021062353499, 'return_pct': -18.639789376465014}",-18.639789376465014
"{'tp_multiplier': 1.0, 'risk_per_trade': 0.01}","{'total_trades': 97, 'winning_trades': 34, 'losing_trades': 63, 'win_rate': 0.35051546391752575, 'total_pnl': np.float64(-1955.3076721679797), 'average_win': np.float64(72.73250849106773), 'average_loss': np.float64(-70.2890946168934), 'profit_factor': np.float64(0.5584431712185878), 'max_drawdown': np.float64(-1997.9968756347755), 'sharpe_ratio': np.float64(-4.535067578389405), 'final_capital': 8044.692327832027, 'return_pct': -19.553076721679727}",-19.553076721679727
"{'tp_multiplier': 3.0, 'risk_per_trade': 0.015}","{'total_trades': 88, 'winning_trades': 14, 'losing_trades': 74, 'win_rate': 0.1590909090909091, 'total_pnl': np.float64(-2075.465328613303), 'average_win': np.float64(262.21491786411855), 'average_loss': np.float64(-77.65505646906708), 'profit_factor': np.float64(0.6388280423668644), 'max_drawdown': np.float64(-2585.508527539084), 'sharpe_ratio': np.float64(-2.8229691897461406), 'final_capital': 7924.534671386695, 'return_pct': -20.754653286133053}",-20.754653286133053
"{'tp_multiplier': 2.5, 'risk_per_trade': 0.01}","{'total_trades': 91, 'winning_trades': 16, 'losing_trades': 75, 'win_rate': 0.17582417582417584, 'total_pnl': np.float64(-2081.278140222187), 'average_win': np.float64(196.6485667228705), 'average_loss': np.float64(-69.70206943717487), 'profit_factor': np.float64(0.6018715738709169), 'max_drawdown': np.float64(-2575.2097736084243), 'sharpe_ratio': np.float64(-3.4881203639174108), 'final_capital': 7918.721859777812, 'return_pct': -20.81278140222188}",-20.81278140222188
"{'tp_multiplier': 1.0, 'risk_per_trade': 0.02}","{'total_trades': 97, 'winning_trades': 34, 'losing_trades': 63, 'win_rate': 0.35051546391752575, 'total_pnl': np.float64(-2081.2868691406366), 'average_win': np.float64(86.33964134665132), 'average_loss': np.float64(-79.63229642740924), 'profit_factor': np.float64(0.5851394347231479), 'max_drawdown': np.float64(-2167.310434887701), 'sharpe_ratio': np.float64(-3.9272977586554574), 'final_capital': 7918.71313085937, 'return_pct': -20.8128686914063}",-20.8128686914063
"{'tp_multiplier': 3.0, 'risk_per_trade': 0.02}","{'total_trades': 88, 'winning_trades': 14, 'losing_trades': 74, 'win_rate': 0.1590909090909091, 'total_pnl': np.float64(-2116.6031542236556), 'average_win': np.float64(275.9387381417413), 'average_loss': np.float64(-80.80737146227071), 'profit_factor': np.float64(0.6460379194402899), 'max_drawdown': np.float64(-2720.998314550802), 'sharpe_ratio': np.float64(-2.6775584492520204), 'final_capital': 7883.3968457763385, 'return_pct': -21.166031542236617}",-21.166031542236617
"{'tp_multiplier': 1.0, 'risk_per_trade': 0.015}","{'total_trades': 97, 'winning_trades': 34, 'losing_trades': 63, 'win_rate': 0.35051546391752575, 'total_pnl': np.float64(-2141.296913208019), 'average_win': np.float64(80.98611674589307), 'average_loss': np.float64(-77.69563305664099), 'profit_factor': np.float64(0.5625386066754547), 'max_drawdown': np.float64(-2198.0154710205134), 'sharpe_ratio': np.float64(-4.314771805461746), 'final_capital': 7858.703086791987, 'return_pct': -21.412969132080136}",-21.412969132080136
"{'tp_multiplier': 2.0, 'risk_per_trade': 0.01}","{'total_trades': 91, 'winning_trades': 18, 'losing_trades': 73, 'win_rate': 0.1978021978021978, 'total_pnl': np.float64(-2304.383433935563), 'average_win': np.float64(151.36673990885478), 'average_loss': np.float64(-68.89020208623218), 'profit_factor': np.float64(0.5417795942045815), 'max_drawdown': np.float64(-2493.8419873535267), 'sharpe_ratio': np.float64(-4.440174394770622), 'final_capital': 7695.616566064438, 'return_pct': -23.04383433935562}",-23.04383433935562
"{'tp_multiplier': 2.5, 'risk_per_trade': 0.015}","{'total_trades': 91, 'winning_trades': 16, 'losing_trades': 75, 'win_rate': 0.17582417582417584, 'total_pnl': np.float64(-2323.3620195923045), 'average_win': np.float64(222.08340883255056), 'average_loss': np.float64(-78.35595414550819), 'profit_factor': np.float64(0.6046482925381289), 'max_drawdown': np.float64(-2919.04863303224), 'sharpe_ratio': np.float64(-3.3176533815267404), 'final_capital': 7676.637980407686, 'return_pct': -23.23362019592314}",-23.23362019592314
"{'tp_multiplier': 2.5, 'risk_per_trade': 0.02}","{'total_trades': 91, 'winning_trades': 16, 'losing_trades': 75, 'win_rate': 0.17582417582417584, 'total_pnl': np.float64(-2353.258883850118), 'average_win': np.float64(234.0755963325505), 'average_loss': np.float64(-81.31291233561235), 'profit_factor': np.float64(0.6141229699350027), 'max_drawdown': np.float64(-3018.345521704116), 'sharpe_ratio': np.float64(-3.1243202561594745), 'final_capital': 7646.741116149871, 'return_pct': -23.532588838501287}",-23.532588838501287
"{'tp_multiplier': 1.5, 'risk_per_trade': 0.01}","{'total_trades': 93, 'winning_trades': 22, 'losing_trades': 71, 'win_rate': 0.23655913978494625, 'total_pnl': np.float64(-2491.1674260620293), 'average_win': np.float64(106.58005350286362), 'average_loss': np.float64(-68.11167046654971), 'profit_factor': np.float64(0.4848626539994386), 'max_drawdown': np.float64(-2648.757889648457), 'sharpe_ratio': np.float64(-5.518075264965774), 'final_capital': 7508.832573937972, 'return_pct': -24.911674260620284}",-24.911674260620284
