interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,positive_symbols,total_symbols,positive_ratio
15m,15,0.5,0.01,-0.18701234278409773,1.611687036743206,1.210706924332029,8,12,0.6666666666666666
15m,15,0.5,0.02,-1.2474273147384367,1.3338583592530084,1.1996058977495594,8,12,0.6666666666666666
15m,15,1.0,0.01,-2.0229752980217888,-0.31345053581138016,1.1172526166109649,6,12,0.5
15m,15,1.0,0.02,-3.293633093370896,-0.417403425948096,1.1402230229869676,6,12,0.5
15m,15,2.0,0.01,-2.5276363430617543,-1.0889199185999494,1.1003224394922393,6,12,0.5
15m,15,2.0,0.02,-3.8809642999302376,-0.8175369126186798,1.1323202866294577,6,12,0.5
5m,5,0.5,0.01,5.247662140792995,4.479470168212856,2.191136031488021,11,12,0.9166666666666666
5m,5,0.5,0.02,5.58431291890987,4.5276624374389485,2.18205944069271,10,12,0.8333333333333334
5m,5,1.0,0.01,3.6577259010036838,2.974869041747988,1.5462648531683614,10,12,0.8333333333333334
5m,5,1.0,0.02,2.9458085332465274,2.8221725090495147,1.5292305585875114,10,12,0.8333333333333334
5m,5,2.0,0.01,1.8987518266779897,3.7475408223728204,1.3032921155280708,9,12,0.75
5m,5,2.0,0.02,1.5075586162898393,3.7469293318943344,1.2976857768292822,9,12,0.75
5m,15,0.5,0.01,1.5025103317635968,3.682191751953151,1.4590293496372755,8,12,0.6666666666666666
5m,15,0.5,0.02,0.7010912960478635,3.682191751953151,1.4357657177741059,8,12,0.6666666666666666
5m,15,1.0,0.01,0.8854537603148253,2.353230444091059,1.2733162386802284,8,12,0.6666666666666666
5m,15,1.0,0.02,0.06837513144927876,2.8033894965812944,1.2657472880366898,8,12,0.6666666666666666
5m,15,2.0,0.01,1.0611619960621903,1.5769369591608937,1.1976321754409271,8,12,0.6666666666666666
5m,15,2.0,0.02,0.6021506291798849,1.7920335144042656,1.1927327153765137,9,12,0.75
